Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
1206;LANTENAY;1;0;10;0;0;0;0;0;0;0,3;46.053968252313197;5.541068441665650
1207;LAPEYROUSE;1;0;13;0;0;0;0;0;0;0,3;45.985713301857999;4.981657643893890
1208;LAVOURS;1;0;5;0;0;0;0;0;0;0,1;45.810961386901099;5.772650483700240
1209;LEAZ;1;0;18;0;0;0;0;0;1;0,5;46.108653296988699;5.876840119546120
1210;LELEX;1;0;6;0;0;0;1;0;0;0,2;46.285464586686402;5.928916333304340
1211;LENT;1;0;62;0;0;0;1;0;1;1,3;46.116448426585599;5.201543533833690
1212;LESCHEROUX;1;0;20;0;0;0;0;0;0;0,7;46.411029030643398;5.150809191095990
1213;LEYMENT;1;0;58;0;0;0;0;0;1;1,3;45.927301570620997;5.294415239727940
1214;LEYSSARD;1;0;5;0;0;0;0;0;0;0,2;46.161820557785703;5.476376873227170
1215;LHOPITAL;1;0;0;0;0;0;0;0;0;0,1;46.024040851789003;5.762992508154350
1216;LHUIS;0;0;33;15;1;0;0;0;1;0,8;45.744629090000601;5.535700286963700
1218;LOCHIEU;1;0;0;0;0;0;0;0;0;0,1;45.930062951995701;5.741608378007600
1219;LOMPNAS;1;0;6;0;0;0;0;0;1;0,1;45.810578288401999;5.522868553397030
1221;LOMPNIEU;1;0;0;0;0;0;0;0;0;0,1;45.969593920164300;5.659780701762930
1224;LOYETTES;1;6;152;0;0;0;1;1;1;2,5;45.792265023548502;5.217787935608840
1225;LURCY;1;0;14;0;0;0;0;0;0;0,4;46.061971484931597;4.780641949173090
1227;MAGNIEU;1;0;16;0;0;0;0;0;0;0,4;45.775564380985401;5.714979982942780
1228;MAILLAT;1;0;18;0;0;0;0;0;1;0,7;46.120119724640901;5.528328216957250
1229;MALAFRETAZ;1;0;35;0;0;0;0;0;0;0,9;46.328980609475899;5.143009209385900
1230;MANTENAY-MONTLIN;1;0;6;0;0;0;0;0;0;0,3;46.430138139964598;5.106668661618720
1231;MANZIAT;1;0;77;0;0;0;1;0;2;1,9;46.364274091076403;4.903000193765090
1232;MARBOZ;1;0;70;0;0;0;1;0;2;2,2;46.343908589345297;5.243722904117950
1233;MARCHAMP;1;0;0;0;0;0;0;0;0;0,1;45.773906441657502;5.550445432654110
1234;MARIGNIEU;1;0;0;0;0;0;0;0;0;0,2;45.801608023476099;5.715694167575880
1235;MARLIEUX;1;5;50;0;0;0;0;0;2;0,8;46.055342506120802;5.074386886789850
1236;MARSONNAS;1;0;47;0;0;0;0;0;0;1;46.340673609037097;5.064212983711510
1237;MARTIGNAT;1;0;68;0;0;0;0;1;1;1,6;46.202796004552297;5.613669461247770
1238;MASSIEUX;1;0;89;0;0;0;1;1;1;2,4;45.909286711075502;4.826834421623420
1239;MASSIGNIEU-DE-RIVES;1;0;31;0;0;0;0;0;1;0,6;45.757056479968000;5.762895032909090
1240;MATAFELON-GRANGES;1;0;30;0;0;0;0;0;1;0,7;46.256479875137799;5.539489869685560
1241;MEILLONNAS;1;0;43;0;0;0;0;0;1;1,3;46.245229615513999;5.336338395208570
1242;MERIGNAT;1;0;5;0;0;0;0;0;0;0,1;46.065094349908001;5.441999855256080
1243;MESSIMY-SUR-SAONE;1;0;45;0;0;0;0;0;1;1,2;46.047265187361297;4.759520916740730
1244;MEXIMIEUX;0,466666667;21;369;45;1;2;3;3;5;7,3;45.906350390653998;5.203416721853320
1245;BOHAS-MEYRIAT-RIGNAT;1;0;40;0;0;0;0;0;0;0,8;46.142488159926202;5.378472204008530
